面积表格, ,,
编号,面积,,公顷
1,2492.2307,24.922307,24.922307
2,3349.4856,33.494856,33.494856
3,350.2002,3.502002,3.502002
4,472.1758,4.721758,4.721758
5,110.4161,1.104161,1.104161
6,146.7506,1.467506,1.467506
7,326.4191,3.264191,3.264191
8,158.9168,1.589168,1.589168
9,85.1925,0.851925,0.851925
10,87.4984,0.874984,0.874984
11,109.1147,1.091147,1.091147
12,109.5595,1.095595,1.095595
13,163.4906,1.634906,1.634906
14,181.7106,1.817106,1.817106
15,93.6496,0.936496,0.936496
16,101.2124,1.012124,1.012124
17,423.5658,4.235658,4.235658
18,460.0185,4.600185,4.600185
19,87.7429,0.877429,0.877429
20,397.0826,3.970826,3.970826
21,197.2689,1.972689,1.972689
22,408.2638,4.082638,4.082638
23,342.2932,3.422932,3.422932
24,213.7069,2.137069,2.137069
25,113.4313,1.134313,1.134313
26,159.3836,1.593836,1.593836
27,186.7319,1.867319,1.867319
28,175.6276,1.756276,1.756276
29,404.3759,4.043759,4.043759
30,279.7512,2.797512,2.797512
31,155.5386,1.555386,1.555386
32,211.6363,2.116363,2.116363
33,244.5255,2.445255,2.445255
34,261.8722,2.618722,2.618722
35,289.9258,2.899258,2.899258
36,102.5479,1.025479,1.025479
37,130.3589,1.303589,1.303589
38,72.804,0.72804,0.72804
39,68.4186,0.684186,0.684186
40,199.7753,1.997753,1.997753
41,221.5404,2.215404,2.215404
42,126.2776,1.262776,1.262776
43,100.9137,1.009137,1.009137
44,247.0668,2.470668,2.470668
45,109.037,1.09037,1.09037
46,125.697,1.25697,1.25697
47,60.3335,0.603335,0.603335
48,60.8559,0.608559,0.608559
49,148.5442,1.485442,1.485442
50,156.6417,1.566417,1.566417
51,82.4848,0.824848,0.824848
52,67.4891,0.674891,0.674891
53,163.2935,1.632935,1.632935
54,127.7359,1.277359,1.277359
55,145.5931,1.455931,1.455931
56,329.542,3.29542,3.29542
57,69.3756,0.693756,0.693756
58,61.1508,0.611508,0.611508
59,147.7719,1.477719,1.477719
60,87.966,0.87966,0.87966
61,57.13,0.5713,0.5713
62,132.7376,1.327376,1.327376
63,304.8534,3.048534,3.048534
64,309.8214,3.098214,3.098214
65,135.9106,1.359106,1.359106
66,142.1916,1.421916,1.421916
67,706.0518,7.060518,7.060518
68,315.8148,3.158148,3.158148
69,892.0964,8.920964,8.920964
70,662.2999,6.622999,6.622999
71,194.0164,1.940164,1.940164
72,171.8888,1.718888,1.718888
73,152.8723,1.528723,1.528723
